Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/28/2020 10,383.4,123.5,10669
01/28/2020 11,95.23,123.58,10712
01/28/2020 12,72.81,123.63,10750
01/28/2020 13,34.71,123.63,10787
01/28/2020 14,34.64,123.62,10816
01/28/2020 15,34.74,123.61,10775
01/28/2020 16,34.68,123.59,10740
01/28/2020 17,34.69,123.57,10844
01/28/2020 18,35.06,123.55,11106
01/28/2020 19,36.94,123.53,11098
01/28/2020 20,36.53,123.53,10991
01/28/2020 21,34.78,123.52,10862
01/28/2020 22,34.72,123.52,10633
01/28/2020 23,35.61,123.52,10325
01/28/2020 24,35.75,123.52,10021
01/29/2020 01,35.07,123.52,9802
01/29/2020 02,34.73,123.52,9696
01/29/2020 03,34.73,123.52,9597
01/29/2020 04,34.71,123.52,9620
01/29/2020 05,34.62,123.52,9678
01/29/2020 06,34.79,123.51,9900
01/29/2020 07,38.81,123.51,10352
01/29/2020 08,36.69,123.5,10866
01/29/2020 09,43.01,123.5,10931
01/29/2020 10,35.89,123.51,10882
01/29/2020 11,32.91,123.5,10822
01/29/2020 12,32.86,123.5,10761
01/29/2020 13,34.67,123.5,10744
01/29/2020 14,34.74,123.5,10772
01/29/2020 15,34.76,123.5,10843
01/29/2020 16,34.68,123.5,10926
01/29/2020 17,34.76,123.5,11108
01/29/2020 18,41.72,123.51,11288
01/29/2020 19,37.24,123.52,11166
